Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInQPC,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartQPC,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860129560,NA,16.49440000000000,16.66650000000000,0.16080000000000,33.05090000000000,49.3668,1080859965913,16.5255,16.3647,0.1608,32.7829,16.6327,0.5899,16.0428,0.0623,1018.5827,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860297593,NA,16.80330000000000,16.68430000000000,0.11600000000000,32.91680000000000,49.2478,1080860131168,16.7585,16.6425,0.1160,32.8901,16.6692,0.6643,16.0049,-0.1588,1035.1082,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860464587,NA,16.69940000000000,16.63000000000000,0.13670000000000,32.91830000000000,49.1784,1080860298753,16.7201,16.5834,0.1367,32.8008,16.7009,0.5041,16.1968,0.1285,1051.8667,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860630169,NA,16.55820000000000,16.69030000000000,0.12020000000000,32.96270000000000,49.3105,1080860465954,16.5417,16.4215,0.1202,32.7816,16.6026,0.5100,16.0926,0.0298,1068.5868,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860797013,NA,16.68440000000000,16.62120000000000,0.16940000000000,32.97160000000000,49.2473,1080860631371,16.7336,16.5642,0.1694,32.8425,16.6933,0.5413,16.1520,-0.0795,1085.1285,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080860963442,NA,16.64290000000000,16.67740000000000,0.13120000000000,32.91720000000000,49.2818,1080860798707,16.6047,16.4735,0.1312,32.8022,16.5885,0.4929,16.0956,0.0562,1101.8621,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861129163,NA,16.57210000000000,16.67000000000000,0.12170000000000,33.04160000000000,49.3797,1080860964754,16.5626,16.4409,0.1217,32.7860,16.6965,0.6304,16.0661,-0.0653,1118.4668,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861296185,NA,16.70220000000000,16.68200000000000,0.12540000000000,33.02010000000000,49.3595,1080861130380,16.7059,16.5805,0.1254,32.9199,16.6807,0.5434,16.1373,-0.1194,1135.0294,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861461533,NA,16.53480000000000,16.64750000000000,0.12600000000000,33.19840000000000,49.4722,1080861297439,16.5354,16.4094,0.1260,32.8947,16.7131,0.5097,16.2034,0.0584,1151.7353,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861632211,NA,17.06780000000000,16.66120000000000,0.19520000000000,32.71270000000000,49.0656,1080861462793,17.1370,16.9418,0.1952,33.0724,16.5821,0.4970,16.0851,-0.1258,1168.2707,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861796673,NA,16.44620000000000,16.67130000000000,0.13240000000000,32.93490000000000,49.2907,1080861634163,16.3834,16.2510,0.1324,32.5175,16.6684,0.6575,16.0109,0.4657,1185.4077,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080861961055,NA,16.43820000000000,16.66760000000000,0.14950000000000,33.18320000000000,49.5201,1080861797997,16.4553,16.3058,0.1495,32.8025,16.6865,0.7853,15.9012,-0.2842,1201.7911,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862128130,NA,16.70750000000000,16.65980000000000,0.08280000000000,33.14930000000000,49.4724,1080861962550,16.6408,16.5580,0.0828,33.0337,16.6736,0.6737,15.9999,-0.2045,1218.2464,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862295098,NA,16.69680000000000,16.69850000000000,0.09050000000000,33.08930000000000,49.4741,1080862128958,16.7045,16.6140,0.0905,33.0665,16.6368,0.4900,16.1468,-0.0577,1234.8872,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862461698,NA,16.66000000000000,16.74210000000000,0.14820000000000,33.18350000000000,49.5562,1080862296003,16.7177,16.5695,0.1482,32.9988,16.7542,0.5847,16.1695,-0.0376,1251.5917,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862629134,NA,16.74360000000000,16.55460000000000,0.13530000000000,33.11220000000000,49.3672,1080862463180,16.7307,16.5954,0.1353,33.0353,16.6723,0.5317,16.1406,0.1631,1268.3094,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862796995,NA,16.78610000000000,16.69030000000000,0.15570000000000,32.86390000000000,49.2714,1080862630487,16.8065,16.6508,0.1557,32.9769,16.5378,0.4558,16.0820,0.0404,1285.0401,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080862963966,NA,16.69710000000000,16.66040000000000,0.11320000000000,32.84440000000000,49.2347,1080862798552,16.6546,16.5414,0.1132,32.7082,16.6776,0.4299,16.2477,0.1461,1301.8466,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863130031,NA,16.60650000000000,16.70410000000000,0.12780000000000,32.89610000000000,49.3323,1080862965098,16.6211,16.4933,0.1278,32.7312,16.6582,0.5087,16.1495,-0.0495,1318.5012,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863297114,NA,16.70830000000000,16.63720000000000,0.09740000000000,32.97900000000000,49.2612,1080863131309,16.6779,16.5805,0.0974,32.7683,16.7912,0.4814,16.3098,-0.0161,1335.1223,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863463355,NA,16.62410000000000,16.65280000000000,0.13070000000000,32.93020000000000,49.2899,1080863298088,16.6574,16.5267,0.1307,32.8816,16.5753,0.4657,16.1096,0.0251,1351.8002,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863632195,NA,16.88400000000000,16.66890000000000,0.10590000000000,32.68630000000000,49.0748,1080863464662,16.8592,16.7533,0.1059,32.7995,16.6401,0.4388,16.2013,-0.0115,1368.4576,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863797304,NA,16.51090000000000,16.66200000000000,0.09100000000000,32.84150000000000,49.2259,1080863633254,16.4960,16.4050,0.0910,32.5804,16.6661,0.4768,16.1893,0.1972,1385.3168,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080863963382,NA,16.60780000000000,16.67580000000000,0.12420000000000,32.88150000000000,49.2939,1080863798214,16.6410,16.5168,0.1242,32.7505,16.6478,0.4672,16.1806,-0.1798,1401.8128,NA,NA,NA
